user_identifier,total_purchase,total_rake,total_rake_apd,total_games
36023324,100,9.39,1,15
36087187,25,54.77,2,23
36095756,200,38.94,1,19
36110705,50,12.08,2,81
36179340,25,3.47,1,8
36241635,200,129.1,2,31
36658178,100,12.38,2,4
37281912,100,12,1,2
37287226,100,3,1,2
37492413,25,15.85,1,44
37496526,50,8.5,1,4
38543569,25,2.68,1,14
38749904,200,30,1,1
38961428,25,4.5,1,2
39171257,60,53.01,1,88
39382503,50,10.66,1,44
40009972,50,6.76,2,11
40011657,50,3.95,1,19
40011959,500,90,1,5
40215488,100,16,1,2
40846719,100,19.84,1,4
41893344,99,19.68,1,18
42316966,100,12.99,1,5
42518375,50,10.63,2,124
42523197,100,14.5,1,5
42527698,50,3.33,1,4
42947757,100,33,2,21
42950046,150,15.98,1,67
43151384,800,577,2,118
43156340,100,8,1,2
43156402,25,4.5,1,3
43358024,25,4,1,1
43360983,50,28.17,2,91
43367859,75,11.5,1,6
43368023,50,11.14,1,101
43369708,25,0.13,1,10
43573078,50,12.25,2,12
43790216,500,15,1,1
43996793,50,27,1,13
44199841,100,19,1,3
44202325,50,8,1,2
44209410,25,7.8,2,5
44212519,50,8.25,1,3
44217701,150,19.83,1,89
44219974,50,14.04,1,6
44220184,13200,3979.74,1,176
44417777,50,7.33,1,5
44613943,50,11.38,1,5
45034423,100,9.5,1,4
45037913,50,14.04,2,29
45038551,50,8,1,2
45252513,50,4.05,1,10
45253370,50,11.27,1,5
